slug,exclusion_reason,notes
dev_altv1,sparse_regional,"Electoral Volatility - Western Europe specific"
dev_othv1,sparse_regional,"Electoral Volatility - Western Europe specific"
dev_regv1,sparse_regional,"Electoral Volatility - Western Europe specific"
dev_tv1,sparse_regional,"Electoral Volatility - Western Europe specific"
eu_headenththab,sparse_regional,"EU health data - few Western EU countries only"
eu_headentnr,sparse_regional,"EU health data - few Western EU countries only"
eu_headentp,sparse_regional,"EU health data - few Western EU countries only"
eu_heahbedlthabp,sparse_regional,"EU health data - few Western EU countries only"
eu_heahbedothhabp,sparse_regional,"EU health data - few Western EU countries only"
eu_resnonpf,sparse_regional,"EU research data - few Western EU countries only"
eu_resnonpt,sparse_regional,"EU research data - few Western EU countries only"
eu_trinlw,sparse_regional,"EU transport data - few Western EU countries only"
gtr_centaxdir1800,historical_research,"Historical tax research - 1800 data point"
gtr_centaxdir1850,historical_research,"Historical tax research - 1850 data point"
gtr_centaxgdp1800,historical_research,"Historical tax research - 1800 data point"
gtr_centaxind1800,historical_research,"Historical tax research - 1800 data point"
h_f,single_country,"Independent Sub-Federal Unit - one country only"
h_j,single_country,"Independent Judiciary - one country only"
h_l1,single_country,"Legislative Chamber - one country only"
h_l2,single_country,"2nd Legislative Chamber - one country only"
who_roadtrd,single_year,"WHO road traffic deaths - reported in 2021 only"
